rank,email_id,received_at,source_account,current_category,confidence,classification_method,is_reviewed,selection_reasons,target_signal_labels,reviewed_label,notes
1,691,2026-02-27T15:02:41,icloud,other,0.5000,fallback,0,target_label_signal,pending_application,,
2,704,2026-02-28T00:31:00,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
3,234,2026-02-07T01:00:13,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
4,233,2026-02-07T00:56:07,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
5,231,2026-02-07T00:54:51,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
6,195,2026-02-05T21:40:53,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
7,187,2026-02-05T18:38:23,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
8,186,2026-02-05T18:37:11,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
9,184,2026-02-05T18:36:11,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
10,128,2026-02-03T18:21:16,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
11,126,2026-02-03T18:19:13,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
12,103,2026-02-02T22:17:33,icloud,applied,0.9000,rules,0,confusion_pair_focus,,,
13,251,2026-02-07T02:34:09,icloud,applied,0.9071,embeddings,0,confusion_pair_focus,,,
14,79,2026-02-11T17:03:01,icloud,applied,0.9493,embeddings,0,confusion_pair_focus,,,
15,621,2026-02-24T13:37:46,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
16,613,2026-02-24T07:31:02,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
17,612,2026-02-24T07:24:44,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
18,611,2026-02-24T07:16:53,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
19,610,2026-02-24T07:01:37,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
20,609,2026-02-24T06:53:43,icloud,applied,0.9500,rules,0,confusion_pair_focus,,,
